Timestamp,Accel_X,Accel_Y,Gyro_Z,Mag_X,Mag_Y,GPS_x,GPS_Y,Calc_Accel_X,Calc_Accel_Y,Calc_Gyro_Z,Calc_Mag_X_Y,Filter_value,Alfa
3,16692,-740,-526,-1977,1361,1697,,,5.00,-0.22,-0.07,-0.9950485011560309,-0.9951477579657249
39,16453,-371,-441,-1992,1307,1697,,,4.93,-0.11,-0.06,-1.038146210509827,-1.058556338087714
72,16332,-590,-282,-1981,1313,1697,,,4.89,-0.18,-0.04,-1.0436300767428093,-1.0459320105247758
76,16337,-595,-361,-1981,1313,1697,,,4.89,-0.18,-0.05,-1.0458088636402991,-1.0459320105247758
81,16273,-309,-642,-1981,1313,1697,,,4.87,-0.09,-0.09,-1.047145991968172,-1.0459320105247758
85,16381,-756,-320,-1981,1313,1697,,,4.90,-0.23,-0.04,-1.0470004580624956,-1.0459320105247758
90,16328,-449,-451,-1981,1313,1697,,,4.89,-0.13,-0.06,-1.0471946372870333,-1.0459320105247758
95,16593,-989,-703,-1981,1313,1697,,,4.97,-0.30,-0.09,-1.0476441019807659,-1.0459320105247758
99,16571,-279,-342,-1981,1313,1697,,,4.96,-0.08,-0.05,-1.0472881114982,-1.0459320105247758
104,16657,-539,-488,-1981,1313,1697,,,4.99,-0.16,-0.06,-1.0472724532802526,-1.0459320105247758
108,16318,-568,-460,-1981,1313,1697,,,4.89,-0.17,-0.06,-1.0472570490594364,-1.0459320105247758
113,16324,-372,-384,-1997,1353,1728,,,4.89,-0.11,-0.05,-1.0281610679888828,-1.015480859990754
118,16464,-582,-478,-1997,1353,1728,,,4.93,-0.17,-0.06,-1.0209889438891664,-1.015480859990754
122,16264,-474,-327,-1997,1353,1728,,,4.87,-0.14,-0.04,-1.0179849582273217,-1.015480859990754
127,16402,-596,-589,-1997,1353,1728,,,4.91,-0.18,-0.08,-1.017346510830159,-1.015480859990754
142,16666,-572,-565,-1997,1353,1728,,,4.99,-0.17,-0.08,-1.017092294066953,-1.015480859990754
146,16666,-428,-542,-1997,1353,1728,,,4.99,-0.13,-0.07,-1.016856578994089,-1.015480859990754
151,16440,-684,-517,-1997,1353,1728,,,4.92,-0.20,-0.07,-1.0167579154445587,-1.015480859990754
156,16520,-434,-436,-1997,1353,1728,,,4.95,-0.13,-0.06,-1.0165833093563355,-1.015480859990754
160,16560,-562,-463,-1997,1353,1728,,,4.96,-0.17,-0.06,-1.0165096569027328,-1.015480859990754
165,16165,-651,-563,-1997,1353,1728,,,4.84,-0.19,-0.07,-1.016603059912528,-1.015480859990754
169,16512,-694,-297,-1997,1353,1728,,,4.94,-0.21,-0.04,-1.0162452819517223,-1.015480859990754
174,16571,-612,-547,-1997,1353,1728,,,4.96,-0.18,-0.07,-1.0164900588280283,-1.015480859990754
178,16929,-665,-284,-1997,1353,1728,,,5.07,-0.20,-0.04,-1.0161902470002497,-1.015480859990754
183,16730,-638,-521,-1997,1353,1728,,,5.01,-0.19,-0.07,-1.0164573178513385,-1.015480859990754
188,16643,-581,-330,-1997,1353,1728,,,4.98,-0.17,-0.04,-1.016166161607324,-1.015480859990754
192,16504,-660,-517,-1997,1353,1728,,,4.94,-0.20,-0.07,-1.016436686009096,-1.015480859990754
207,16481,-460,-450,-1997,1353,1728,,,4.93,-0.14,-0.06,-1.0164038194157625,-1.015480859990754
212,16369,-737,-476,-1997,1353,1728,,,4.90,-0.22,-0.06,-1.0163850141532322,-1.015480859990754
216,16449,-493,-454,-1998,1343,1767,,,4.92,-0.15,-0.06,-1.0231196862922907,-1.026324676443889
221,16466,-580,-592,-1998,1343,1767,,,4.93,-0.17,-0.08,-1.0259424426854062,-1.026324676443889
225,16349,-477,-285,-1998,1343,1767,,,4.89,-0.14,-0.04,-1.0264975875861388,-1.026324676443889
230,16416,-242,-651,-1998,1343,1767,,,4.91,-0.07,-0.09,-1.0273482068609279,-1.026324676443889
235,16404,-620,-315,-1998,1343,1767,,,4.91,-0.19,-0.04,-1.0270203216088005,-1.026324676443889
239,16833,-385,-453,-1998,1343,1767,,,5.04,-0.12,-0.06,-1.0271485347392215,-1.026324676443889
244,16832,-490,-455,-1998,1343,1767,,,5.04,-0.15,-0.06,-1.0271912966860632,-1.026324676443889
248,16489,-1032,-492,-1998,1343,1767,,,4.94,-0.31,-0.07,-1.0273299219039518,-1.026324676443889
253,16201,171,-503,-1998,1343,1767,,,4.85,0.05,-0.07,-1.0273753815578304,-1.026324676443889
257,16794,-908,-347,-1998,1343,1767,,,5.03,-0.27,-0.05,-1.0271284784182861,-1.026324676443889
272,16562,-104,-636,-1998,1343,1767,,,4.96,-0.03,-0.08,-1.0274150001861528,-1.026324676443889
277,17428,-476,-419,-1998,1343,1767,,,5.22,-0.14,-0.06,-1.0272588935470983,-1.026324676443889
281,15877,-551,-328,-1998,1343,1767,,,4.75,-0.16,-0.04,-1.0269366564277624,-1.026324676443889
286,16597,-235,-631,-1998,1343,1767,,,4.97,-0.07,-0.08,-1.027324489783963,-1.026324676443889
291,16021,-333,-261,-1998,1343,1767,,,4.80,-0.10,-0.03,-1.0268219727838548,-1.026324676443889
295,16445,-359,-508,-1998,1343,1767,,,4.92,-0.11,-0.07,-1.0271424993817655,-1.026324676443889
300,16648,-574,-484,-1998,1343,1767,,,4.98,-0.17,-0.06,-1.0271295599248955,-1.026324676443889
304,16728,-273,-382,-1998,1343,1767,,,5.01,-0.08,-0.05,-1.0269907399590903,-1.026324676443889
309,16845,-683,-524,-1998,1343,1767,,,5.04,-0.20,-0.07,-1.0271906407480182,-1.026324676443889
314,16359,-588,-438,-1998,1343,1767,,,4.90,-0.18,-0.06,-1.0271318152367068,-1.026324676443889
318,16380,-480,-768,-2018,1363,1717,,,4.90,-0.14,-0.10,-1.0224802791084757,-1.0180678579445694
323,16490,-916,-479,-2018,1363,1717,,,4.94,-0.27,-0.06,-1.0201792269435994,-1.0180678579445694
338,16515,-722,-437,-2018,1363,1717,,,4.94,-0.22,-0.06,-1.0192955754728417,-1.0180678579445694
342,16445,-625,-276,-2018,1363,1717,,,4.92,-0.19,-0.04,-1.018696509962565,-1.0180678579445694
347,16849,-454,-755,-2018,1363,1717,,,5.04,-0.14,-0.10,-1.0192366052970465,-1.0180678579445694
351,16690,-450,-229,-2018,1363,1717,,,5.00,-0.13,-0.03,-1.018533576730899,-1.0180678579445694
356,16507,-767,-212,-2018,1363,1717,,,4.94,-0.23,-0.03,-1.018264819310971,-1.0180678579445694
361,16546,-512,-481,-2018,1363,1717,,,4.95,-0.15,-0.06,-1.0185472983231971,-1.0180678579445694
365,16533,-555,-513,-2018,1363,1717,,,4.95,-0.17,-0.07,-1.018779219184404,-1.0180678579445694
370,16505,-567,-430,-2018,1363,1717,,,4.94,-0.17,-0.06,-1.0187335689585932,-1.0180678579445694
374,16411,-541,-479,-2018,1363,1717,,,4.91,-0.16,-0.06,-1.0187118156895516,-1.0180678579445694
379,16491,-389,-485,-2018,1363,1717,,,4.94,-0.12,-0.06,-1.018699240128909,-1.0180678579445694
384,16812,-556,-476,-2018,1363,1717,,,5.03,-0.17,-0.06,-1.0186902191186213,-1.0180678579445694
388,16537,-589,-391,-2018,1363,1717,,,4.95,-0.18,-0.05,-1.0185541498571322,-1.0180678579445694
403,16326,-614,-556,-2018,1363,1717,,,4.89,-0.18,-0.07,-1.0187563660190793,-1.0180678579445694
407,16960,-1194,-406,-2018,1363,1717,,,5.08,-0.36,-0.05,-1.0185712046850712,-1.0180678579445694
412,16561,-965,-472,-2018,1363,1717,,,4.96,-0.29,-0.06,-1.0186263070595278,-1.0180678579445694
417,16154,-643,-592,-2011,1342,1656,,,4.84,-0.19,-0.08,-1.0287278322613227,-1.0338630805858147
494,16810,-714,-392,-2011,1342,1656,,,5.03,-0.21,-0.05,-1.0321936120046153,-1.0338630805858147
547,16524,-834,-557,-2011,1342,1656,4634.6705,02422.5855,4.95,-0.25,-0.07,-1.0337712164338029,-1.0338630805858147
604,16664,-568,-619,-2051,1344,1758,4634.6705,02422.5855,4.99,-0.17,-0.08,-1.0478784936666292,-1.055371558501995
647,15844,-558,-310,-2051,1344,1758,4634.6705,02422.5855,4.74,-0.17,-0.04,-1.0527451593709,-1.055371558501995
715,16252,-58,-671,-2006,1356,1747,4634.6705,02422.5855,4.87,-0.02,-0.09,-1.0320350586017362,-1.0180689405352426
788,16514,-430,-518,-2006,1356,1747,4634.6705,02422.5855,4.94,-0.13,-0.07,-1.0238593514901368,-1.0180689405352426
834,16640,-454,-528,-2025,1353,1720,4634.6705,02422.5855,4.98,-0.14,-0.07,-1.0292683761708288,-1.0317901601525343
883,16684,-472,-425,-2043,1374,1705,4634.6705,02422.5855,4.99,-0.14,-0.06,-1.025020809999419,-1.0218576234494863
958,16699,-363,-581,-2043,1374,1705,4634.6705,02422.5855,5.00,-0.11,-0.08,-1.0236516128939661,-1.0218576234494863
999,16977,-375,-424,-2004,1408,1766,4634.6705,02422.5855,5.08,-0.11,-0.06,-0.989079345678799,-0.967554098341139
1039,16313,-396,-470,-2004,1408,1766,4634.6705,02422.5855,4.88,-0.12,-0.06,-0.9758722118372816,-0.967554098341139
1072,16477,-433,-646,-2009,1395,1751,4634.6705,02422.5855,4.93,-0.13,-0.09,-0.980579276499514,-0.9826105966702594
1076,16634,-476,-253,-2009,1395,1751,4634.6705,02422.5855,4.98,-0.14,-0.03,-0.9816006249726957,-0.9826105966702594
1081,16445,-563,-542,-2009,1395,1751,4634.6705,02422.5855,4.92,-0.17,-0.07,-0.9825071642690283,-0.9826105966702594
1086,16171,-399,-499,-2009,1395,1751,4634.6705,02422.5855,4.84,-0.12,-0.07,-0.9828503834374667,-0.9826105966702594
1100,16070,-532,-614,-2009,1395,1751,4634.6705,02422.5855,4.81,-0.16,-0.08,-0.9831069225413239,-0.9826105966702594
1105,16323,-311,-483,-2009,1395,1751,4634.6705,02422.5855,4.89,-0.09,-0.06,-0.9829435940181447,-0.9826105966702594
1110,16443,-503,-348,-2009,1395,1751,4634.6705,02422.5855,4.92,-0.15,-0.05,-0.9827511833234138,-0.9826105966702594
1114,16706,-420,-497,-2009,1395,1751,4634.6705,02422.5855,5.00,-0.13,-0.07,-0.9829344737434674,-0.9826105966702594
1129,16291,-451,-354,-2015,1356,1725,4634.6705,02422.5855,4.88,-0.14,-0.05,-1.0079700535083271,-1.0231558232666307
1134,16543,-515,-552,-2015,1356,1725,4634.6705,02422.5855,4.95,-0.15,-0.07,-1.0177882739074438,-1.0231558232666307
1138,16379,-757,-459,-2015,1356,1725,4634.6705,02422.5855,4.90,-0.23,-0.06,-1.021405526367206,-1.0231558232666307
1143,16357,-477,-403,-2015,1356,1725,4634.6705,02422.5855,4.90,-0.14,-0.05,-1.0226555450397872,-1.0231558232666307
1158,16429,-437,-566,-2015,1356,1725,4634.6705,02422.5855,4.92,-0.13,-0.08,-1.0235166175092436,-1.0231558232666307
1163,16336,-780,-302,-2015,1356,1725,4634.6705,02422.5855,4.89,-0.23,-0.04,-1.0233256840145493,-1.0231558232666307
1167,16389,-323,-576,-2015,1356,1725,4634.6705,02422.5855,4.91,-0.10,-0.08,-1.023766281539188,-1.0231558232666307
1172,16519,-875,-453,-2015,1356,1725,4634.6705,02422.5855,4.95,-0.26,-0.06,-1.0236717411319214,-1.0231558232666307
1187,16275,-269,-601,-2015,1356,1725,4634.6705,02422.5855,4.87,-0.08,-0.08,-1.0238895104979333,-1.0231558232666307
1191,16792,-492,-438,-2015,1356,1725,4634.6705,02422.5855,5.03,-0.15,-0.06,-1.0237099514270431,-1.0231558232666307
