Timestamp,Accel_X,Accel_Y,Gyro_Z,Mag_X,Mag_Y,GPS_x,GPS_Y,Calc_Accel_X,Calc_Accel_Y,Calc_Gyro_Z,Calc_Mag_X_Y,Filter_value,Alfa
95141,15984,-118,462,-6067,752,-1916,4634.6646,02422.5606,4.79,-0.04,0.06,-1.6310514914147016,-1.631214784045814
95194,16452,-504,-266,-6067,752,-1916,4634.6646,02422.5606,4.93,-0.15,-0.04,-1.631612779735856,-1.631214784045814
95254,15341,-613,-201,-6048,788,-1885,4634.6646,02422.5606,4.59,-0.18,-0.03,-1.627009270053747,-1.6236783538233592
95303,15906,-444,-543,-6165,906,-1741,4634.6646,02422.5606,4.76,-0.13,-0.07,-1.6112109132506869,-1.6002355684934482
95375,16497,-728,-646,-6165,906,-1741,4634.6646,02422.5606,4.94,-0.22,-0.09,-1.6054426234142516,-1.6002355684934482
95448,16217,-323,-912,-6159,912,-1739,4634.6646,02422.5606,4.86,-0.10,-0.12,-1.6028028327652246,-1.598933775891356
95494,17018,166,-1148,-6159,912,-1739,4634.6646,02422.5606,5.09,0.05,-0.15,-1.6021635110997563,-1.598933775891356
95562,17665,71,-1091,-6155,889,-1757,4634.6646,02422.5606,5.29,0.02,-0.15,-1.604827895257602,-1.6036394747784362
95594,15072,-654,-1579,-6173,847,-1810,4634.6646,02422.5606,4.51,-0.20,-0.21,-1.6119530816469592,-1.612246885413391
95669,15538,-212,-1405,-6173,847,-1810,4634.6646,02422.5606,4.65,-0.06,-0.19,-1.6143888764229235,-1.612246885413391
95710,15372,134,-453,-6129,811,-1815,4634.6646,02422.5606,4.60,0.04,-0.06,-1.6181862539720162,-1.6195763248762844
95750,15944,324,-449,-6129,811,-1815,4634.6646,02422.5606,4.77,0.10,-0.06,-1.619630019334133,-1.6195763248762844
95783,14996,-16,-593,-6129,811,-1815,4634.6646,02422.5606,4.49,-0.00,-0.08,-1.6204316142336503,-1.6195763248762844
95787,14801,-331,-858,-6148,804,-1775,4634.6646,02422.5606,4.43,-0.10,-0.11,-1.6222486520044768,-1.621400284746551
95792,14954,-276,-855,-6148,804,-1775,4634.6646,02422.5606,4.48,-0.08,-0.11,-1.6229288499022767,-1.621400284746551
95797,14952,-310,-752,-6148,804,-1775,4634.6646,02422.5606,4.48,-0.09,-0.10,-1.6230465754732064,-1.621400284746551
95811,15000,-224,-569,-6148,804,-1775,4634.6646,02422.5606,4.49,-0.07,-0.08,-1.6228226784724338,-1.621400284746551
95816,14993,55,-624,-6148,804,-1775,4634.6646,02422.5606,4.49,0.02,-0.08,-1.6227281507296996,-1.621400284746551
95821,14985,-81,-557,-6148,804,-1775,4634.6646,02422.5606,4.49,-0.02,-0.07,-1.6225547507246108,-1.621400284746551
95825,14921,9,-440,-6148,804,-1775,4634.6646,02422.5606,4.47,0.00,-0.06,-1.6223527857712303,-1.621400284746551
95840,15448,208,-108,-6148,804,-1775,4634.6646,02422.5606,4.62,0.06,-0.01,-1.6216278268966597,-1.621400284746551
95845,15491,69,-224,-6148,804,-1775,4634.6646,02422.5606,4.64,0.02,-0.03,-1.6216092595842515,-1.621400284746551
95850,15466,212,-190,-6148,804,-1775,4634.6646,02422.5606,4.63,0.06,-0.03,-1.621600790710087,-1.621400284746551
95854,15851,243,-166,-6148,804,-1775,4634.6646,02422.5606,4.75,0.07,-0.02,-1.621467785210228,-1.621400284746551
95869,16025,401,277,-6154,815,-1781,4634.6646,02422.5606,4.80,0.12,0.04,-1.6191962361205154,-1.6190696836241143
95873,16012,514,270,-6154,815,-1781,4634.6646,02422.5606,4.79,0.15,0.04,-1.6183374172991365,-1.6190696836241143
95878,16069,541,350,-6154,815,-1781,4634.6646,02422.5606,4.81,0.16,0.05,-1.6178897120876083,-1.6190696836241143
95883,15887,589,370,-6154,815,-1781,4634.6646,02422.5606,4.76,0.18,0.05,-1.6177287940980891,-1.6190696836241143
95897,16328,412,478,-6154,815,-1781,4634.6646,02422.5606,4.89,0.12,0.06,-1.6175488815849846,-1.6190696836241143
95902,16561,409,459,-6154,815,-1781,4634.6646,02422.5606,4.96,0.12,0.06,-1.617491448403967,-1.6190696836241143
95906,16589,301,534,-6154,815,-1781,4634.6646,02422.5606,4.97,0.09,0.07,-1.6173522411809476,-1.6190696836241143
95911,16752,307,490,-6154,815,-1781,4634.6646,02422.5606,5.02,0.09,0.07,-1.6173115190866965,-1.6190696836241143
95926,16929,23,505,-6154,815,-1781,4634.6646,02422.5606,5.07,0.01,0.07,-1.6173082660722558,-1.6190696836241143
95930,16985,0,768,-6154,815,-1781,4634.6646,02422.5606,5.08,0.00,0.10,-1.6169338993789868,-1.6190696836241143
95935,17020,70,887,-6154,815,-1781,4634.6646,02422.5606,5.10,0.02,0.12,-1.6165503433338249,-1.6190696836241143
95939,17053,-49,751,-6154,815,-1781,4634.6646,02422.5606,5.11,-0.01,0.10,-1.61667965240743,-1.6190696836241143
