Timestamp,Accel_X,Accel_Y,Gyro_Z,Mag_X,Mag_Y,GPS_x,GPS_Y,Calc_Accel_X,Calc_Accel_Y,Calc_Gyro_Z,Calc_Mag_X_Y
3,16466,-244,-282,-4101,1583,0.00,0.00,4.929548950195313,-0.07304809570312501,-2.1514892578125,-1.2024138961913955
39,16523,-59,-389,-4109,1582,0.00,0.00,4.946613464355469,-0.017663269042968752,-2.96783447265625,-1.2032800663264385
74,16506,190,-290,-4109,1582,0.00,0.00,4.941524047851563,0.0568817138671875,-2.2125244140625,-1.2032800663264385
109,16517,9,-481,-4109,1582,0.00,0.00,4.944817199707032,0.00269439697265625,-3.66973876953125,-1.2032800663264385
144,16536,37,-455,-4123,1571,0.00,0.00,4.95050537109375,0.01107696533203125,-3.47137451171875,-1.206746770896559
179,16512,-20,-403,-4123,1571,0.00,0.00,4.9433203125,-0.0059875488281250005,-3.07464599609375,-1.206746770896559
213,16641,-107,-377,-4123,1571,0.00,0.00,4.981940002441407,-0.03203338623046875,-2.87628173828125,-1.206746770896559
246,16518,-36,-518,-4068,1566,0.00,0.00,4.945116577148438,-0.010777587890625,-3.9520263671875,-1.203326021001966
279,16419,-35,-331,-4068,1566,0.00,0.00,4.915478210449219,-0.01047821044921875,-2.52532958984375,-1.203326021001966
312,16506,-37,-607,-4068,1566,0.00,0.00,4.941524047851563,-0.01107696533203125,-4.63104248046875,-1.203326021001966
345,16493,-3,-353,-4114,1560,0.00,0.00,4.937632141113282,-0.00089813232421875,-2.69317626953125,-1.2083546791860607
378,16472,-36,-502,-4114,1560,0.00,0.00,4.93134521484375,-0.010777587890625,-3.8299560546875,-1.2083546791860607
411,16547,-69,-336,-4114,1560,0.00,0.00,4.953798522949219,-0.02065704345703125,-2.5634765625,-1.2083546791860607
444,16538,-52,-257,-4101,1578,0.00,0.00,4.9511041259765625,-0.015567626953125,-1.96075439453125,-1.2034754413626205
477,16618,16,-393,-4101,1578,0.00,0.00,4.975054321289063,0.0047900390625,-2.99835205078125,-1.2034754413626205
510,16504,-144,-501,-4101,1578,0.00,0.00,4.940925292968751,-0.0431103515625,-3.82232666015625,-1.2034754413626205
543,16531,-39,-307,-4119,1584,0.00,0.00,4.949008483886719,-0.011675720214843751,-2.34222412109375,-1.203671299653392
576,16532,36,-372,-4119,1584,0.00,0.00,4.949307861328125,0.010777587890625,-2.838134765625,-1.203671299653392
609,16707,-35,-320,-4119,1584,0.00,0.00,5.001698913574219,-0.01047821044921875,-2.44140625,-1.203671299653392
642,16542,-49,-446,-4086,1572,0.00,0.00,4.952301635742188,-0.01466949462890625,-3.4027099609375,-1.2035240968341239
675,16497,-115,-458,-4086,1572,0.00,0.00,4.9388296508789065,-0.03442840576171875,-3.4942626953125,-1.2035240968341239
708,16449,43,-390,-4086,1572,0.00,0.00,4.924459533691406,0.012873229980468751,-2.9754638671875,-1.2035240968341239
